Pit,IR,Therm
KP01,-4.3,-4.3
KP02,-6.3,-6.3
KP03,-7.2,-4.4
KP04,-1,-0.1
KP05,-5.3,-5.1
KP06,-3.8,-3.2
KP07,-4.8,-4.2
KP08,-6.3,-3.2
KP09,-7.4,-7.4
KP10,-12,-9.7
KP11,-15.8,-13.2
KP12,-15.8,-15.2
KP13,-9.1,-9.3
KP14,-23.1,-22
KP15,-9.3,-4.7
KP16,-7.8,-6.8
KP17,-13.5,-13.3
KP18,-17.8,-16.9
KP19,-13.8,-13.6
KP20,-9.5,-7
KP21,-8.1,-9.5
KP22,-7.3,-9.3
KP23,-7.8,-5
KP24,-13.2,-13.1
KP25,-1.7,-3.5
KP26,-5.7,-3.7
KP27,-13.1,-12.9
KP28,-12.6,-14.9
KP29,-11.1,-11.5
KP30,-3.8,-0.5
KP31,-1,-0.4
KP32,-13.3,-7.7
KP33,-8.8,-6.2
KP34,-4.3,-2.3
KP35,-6.8,-4
KP36,-8.7,-5.5
KP37,-10.1,-7.7
KP38,-7.9,-6.3
KP39,-8.4,-4.7
KP40,-4,-0.2
KP41,-2.7,1.5
KP42,-6.3,-0.3
KP43,-5,-2.6
KP44,-4.3,-1.1
KP45,-2.3,0.4
KP46,-0.7,0.8
KP47,0.2,1.4
KP48,-8.9,-6.6
